metodo	tiempo [milisegundos]	tiempo [segundos]
com.qin.controller.LoginController.home	128	0
com.qin.controller.ConsultaController.consultar	1	0
com.qin.controller.BusquedaTPController.buscarTPs	29	0
com.qin.controller.ElaboracionResolucionController.popularMaterias	11	0
com.qin.controller.ElaboracionResolucionController.altaTP	351	0
com.qin.controller.SincronizadorTPController.sincronizar	199	0
com.qin.controller.SincronizadorTPController.sincronizar	9	0
com.qin.controller.SincronizadorTPController.sincronizar	7	0
com.qin.controller.SincronizadorTPController.sincronizar	7	0
com.qin.controller.SincronizadorTPController.sincronizar	8	0
com.qin.controller.SincronizadorTPController.sincronizar	13	0
com.qin.controller.SincronizadorTPController.sincronizar	5	0
com.qin.controller.SincronizadorTPController.sincronizar	15	0
com.qin.controller.SincronizadorTPController.sincronizar	17	0
com.qin.controller.SincronizadorTPController.sincronizar	9	0
com.qin.controller.SincronizadorTPController.sincronizar	6	0
com.qin.controller.SincronizadorTPController.sincronizar	6	0
com.qin.controller.SincronizadorTPController.sincronizar	15	0
com.qin.controller.SincronizadorTPController.sincronizar	14	0
com.qin.controller.SincronizadorTPController.sincronizar	15	0
com.qin.controller.SincronizadorTPController.sincronizar	12	0
com.qin.controller.SincronizadorTPController.sincronizar	7	0
com.qin.controller.SincronizadorTPController.sincronizar	13	0
com.qin.controller.SincronizadorTPController.sincronizar	6	0
com.qin.controller.SincronizadorTPController.sincronizar	9	0
com.qin.controller.SincronizadorTPController.sincronizar	6	0
com.qin.controller.SincronizadorTPController.sincronizar	7	0
com.qin.controller.SincronizadorTPController.sincronizar	6	0
com.qin.controller.SincronizadorTPController.sincronizar	5	0
com.qin.controller.SincronizadorTPController.sincronizar	12	0
