sampler_label,aggregate_report_count,average,aggregate_report_min,aggregate_report_max,aggregate_report_stddev,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth,average_bytes
/qinweb/,1200,15,1,788,63.18048432862794,0.0,2.5211249259419555,1.8654929298202858,757.7033333333334
/qinweb/login.html,1200,60,10,1277,106.89117706028563,0.0,2.5104865113651815,2.070178885239385,844.4033333333333
/qinweb/home.html,1200,36,4,1442,82.62349921313077,0.0,2.5086601037330953,2.068672806438058,844.4033333333333
/qinweb/consultar.html,1200,42,4,976,99.92519667509069,0.0,2.4884804094379764,2.0145431590636678,828.9766666666667
/qinweb/iniciar_busqueda.html,1200,50,4,1134,112.960087297338,0.0,2.477552343454823,2.4289368306737495,1003.9066666666666
/qinweb/buscar.html,1200,85,12,1178,128.08395466125592,0.0,2.5074177775920434,3.028865994191149,1236.9533333333334
/qinweb/alta_resolucion.html,1200,186,23,1891,216.8626466078241,0.0,2.5003021198394806,3.208069933450292,1313.8666666666666
/qinweb/sincronizar.html,12000,147,4,3338,306.7260684443133,0.0,22.3426657406873,6.804985416755882,311.8833333333333
/qinweb/guardar_resolucion.html,1200,110,21,1633,125.22810732375096,0.0,2.4659037434473747,3.157769548965656,1311.3066666666666
Total,21600,114,1,3338,248.33199371900514,0.0,38.268763653178695,23.378895419087257,625.5751851851852
