sampler_label;aggregate_report_count;average;aggregate_report_min;aggregate_report_max;aggregate_report_stddev;aggregate_report_error%;aggregate_report_rate;aggregate_report_bandwidth;average_bytes
/qinweb/;300;11;5;72;6,889343623;0;3,6958101832;3,0425468598;843
/qinweb/login,html;3300;43;13;3694;139,8066316028;0;4,9583200611;4,4319827655;915,3
/qinweb/home,html;300;14;7;121;11,4242062695;0;3,2894376158;2,8150818659;876,3333333333
/qinweb/consultar,html;300;13;5;164;12,2926789414;0;3,1010636648;2,6074373198;861
/qinweb/iniciar_busqueda,html;3000;48;12;3492;162,6705665803;0;5,4456245314;5,5092419055;1035,9626666667
/qinweb/buscar,html;3000;121;24;4667;186,0529287819;0;5,437737901;30,3657710684;5718,2876666667
/qinweb/alta_resolucion,html;3000;111;44;3789;153,2727342133;0;5,3945676704;7,1277973081;1353,0026666667
/qinweb/sincronizar,html;4200;62;5;3187;184,5670902285;0;7,4460691846;2,5016424012;344,0314285714
/qinweb/guardar_resolucion,html;3600;119;43;2427;149,63205706;0;6,334348002;8,3218837152;1345,3016666667
/qinweb/estadistica_tp,html;600;28;12;1200;60,7134707504;0;1,0617082532;1,1415437371;1101
/qinweb/ver_estadistica,html;600;27;13;960;43,1987484065;0;1,0657004316;1,2030758779;1156
/qinweb/actualizar_estadistica,html;1200;33;17;303;15,7454755406;0;2,085810233;0,9206896732;452
/qinweb/Charts/Column3D,swf;600;10;6;366;15,4012220835;0;1,0643298713;62,639554711;60266
/qinweb/alta_tp,html;600;30;13;1268;54,6853421098;0;1,0447264819;1,5640290007;1533
/qinweb/guardar_tp,html;600;74;39;1146;66,8975521891;0;1,0391571743;1,602033977;1578,6666666667
/qinweb/buscar_resoluciones,html;900;92;28;2526;174,8422358041;0;2,0557942561;5,566692;2772,7933333333
/qinweb/evaluar_resolucion,html;900;83;22;2519;206,0650842169;0;2,0425995484;2,1478590294;1076,7688888889
Total;27000;73;5;4667;155,376479289;0;39,2636466621;110,4746959544;2881,1915925926
