sampler_label,aggregate_report_count,average,aggregate_report_min,aggregate_report_max,aggregate_report_stddev,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth,average_bytes
/qinweb/,1200,3,0,111,5.778334475050364,0.0,2.6582312129509025,1.9670651382944788,757.75
/qinweb/login.html,1200,18,9,173,13.019701710826133,0.0,2.6319656616213347,2.1704035324269135,844.4233333333333
/qinweb/home.html,1200,7,2,123,8.922387533925859,0.0,2.613604683579593,2.155262479417863,844.4233333333333
/qinweb/consultar.html,1200,6,3,154,9.336214436269124,0.0,2.5802511874530984,2.0866269612596784,828.1
/qinweb/iniciar_busqueda.html,1200,8,3,189,9.832875554316075,0.0,2.5519860831692265,2.5021426049823274,1004.0
/qinweb/buscar.html,1200,20,10,178,13.506462547815975,0.0,2.5478085661570344,3.0777726526721203,1237.0
/qinweb/alta_resolucion.html,1200,45,21,294,26.348275033144432,0.0,2.5444483317960622,3.2625592379377246,1313.0
/qinweb/sincronizar.html,12000,21,4,552,22.07377151482929,0.0,22.42085438402439,6.8313540701324325,312.0
/qinweb/guardar_resolucion.html,1200,45,22,350,25.726637244087875,0.0,2.441292013109738,3.1231372433337468,1310.0
Total,21600,20,0,552,22.282785796386655,0.0,37.575411763887246,22.951940276405423,625.4831481481482
