sampler_label,aggregate_report_count,average,aggregate_report_min,aggregate_report_max,aggregate_report_stddev,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth,average_bytes
/qinweb/,300,3,1,393,22.529349746497346,0.0,3.8008843390895617,3.0102707021500335,811.0
/qinweb/login.html,3300,16,9,366,12.000915621633863,0.0,5.050837444153809,4.356550572657827,883.2412121212121
/qinweb/home.html,300,8,2,1102,70.55295757246624,0.0,3.3673057064607375,2.776459744561801,844.3233333333334
/qinweb/consultar.html,300,6,2,1247,71.73199472109128,0.0,3.2578242078057467,2.6374377619833633,829.0
/qinweb/iniciar_busqueda.html,3000,4,2,56,4.4960198571131285,0.0,5.665914988611511,5.555252586490193,1004.0
/qinweb/buscar.html,3000,34,3,290,26.384157190758746,0.0,5.683712752735761,31.745530203960033,5719.399333333334
/qinweb/alta_resolucion.html,3000,49,25,639,31.14363235077116,0.0,5.623843597160334,7.254577003189657,1320.927
/qinweb/sincronizar.html,4200,5,2,180,6.434826899165371,0.0,7.757364416969419,2.3641130815945446,312.07142857142856
/qinweb/guardar_resolucion.html,3600,50,27,1591,33.23450766898767,0.0,6.586530545035402,8.449498120094406,1313.6333333333334
/qinweb/estadistica_tp.html,600,3,2,40,3.0836053934027,0.0,1.1103318226652035,1.1591257015909204,1069.0
/qinweb/ver_estadistica.html,600,4,2,614,25.114868051061354,0.0,1.105063955576429,1.2129803574881894,1124.0
/qinweb/actualizar_estadistica.html,1200,11,8,60,5.389779422408881,0.0,2.1171750533263465,0.8683725804658844,420.0
/qinweb/Charts/Column3D.swf,600,7,6,42,3.0962876517245976,0.0,1.062723725484292,62.51181726642661,60234.0
/qinweb/alta_tp.html,600,4,3,49,3.6745732934435917,0.0,1.0799835842495196,1.5830618749595007,1501.0
/qinweb/guardar_tp.html,600,51,22,429,43.39253235164882,0.0,1.0747045010415677,1.6233163102752497,1546.7283333333332
/qinweb/buscar_resoluciones.html,900,34,15,139,16.4100730883635,0.0,2.1689830602422995,5.798407653889348,2737.49
/qinweb/evaluar_resolucion.html,900,28,17,138,12.547110778537377,0.0,2.1695843558504047,2.213654038078616,1044.8
Total,27000,23,1,1591,29.944299645908412,0.0,40.59076094146512,113.083396466687,2852.801851851852
