sampler_label,aggregate_report_count,average,aggregate_report_min,aggregate_report_max,aggregate_report_stddev,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth,average_bytes
/qinweb/,300,3,2,40,4.098469904190533,0.0,3.711814706209866,2.939728248765822,811.0
/qinweb/login.html,3300,17,10,154,10.239271327523312,0.0,4.916215765261125,4.240425227523955,883.239393939394
/qinweb/home.html,300,4,2,36,3.8763370453159625,0.0,3.439775268015823,2.8361574127157025,844.3066666666666
/qinweb/consultar.html,300,10,2,2121,122.09565808095807,0.0,3.1368284573077645,2.53948319444154,829.0
/qinweb/iniciar_busqueda.html,3000,4,2,40,4.132149023880378,0.0,5.498775605965071,5.391377644911066,1004.0
/qinweb/buscar.html,3000,38,3,266,28.168042315519347,0.0,5.45815776259197,30.210231606690613,5667.714
/qinweb/alta_resolucion.html,3000,50,26,760,31.228357182748713,0.0,5.385667661219962,6.946939757043555,1320.8513333333333
/qinweb/sincronizar.html,4200,6,3,291,8.076900627891522,0.0,7.2765324897175665,2.217576063586499,312.07142857142856
/qinweb/guardar_resolucion.html,3600,51,28,857,25.807773195885133,0.0,6.274848837148499,8.045879984365168,1313.0166666666667
/qinweb/estadistica_tp.html,600,3,2,42,2.712067169767986,0.0,1.0389898248263154,1.084648557362628,1069.0
/qinweb/ver_estadistica.html,600,4,2,37,2.9407250617643412,0.0,1.0363625057863572,1.1375697817420563,1124.0
/qinweb/actualizar_estadistica.html,1200,13,8,63,6.130114134790278,0.0,2.0105789964865135,0.8246515415276715,420.0
/qinweb/Charts/Column3D.swf,600,7,6,115,5.212834321812528,0.0,1.0401317500216694,61.182906084770735,60234.0
/qinweb/alta_tp.html,600,5,3,40,2.8628637566061177,0.0,1.0416992197672843,1.5269438758502871,1501.0
/qinweb/guardar_tp.html,600,57,24,593,54.39832503548861,0.0,1.0432224445831544,1.5756632123687933,1546.63
/qinweb/buscar_resoluciones.html,900,36,16,192,17.373720007919438,0.0,2.041983174058646,5.42994700202837,2722.9733333333334
/qinweb/evaluar_resolucion.html,900,32,17,195,18.00225980327724,0.0,2.0208869897541026,2.061936256733483,1044.8
Total,27000,25,2,2121,30.562691986734322,0.0,39.710437373698745,110.3857834519989,2846.481925925926
